!	954
$	38298
&	1688
&#	6847
'	6549
(	3
)	4
+	222
,	17298
-	12
--	2053
.	897
0	226
0.01%	25091
0.02%	24565
0.03%	21248
0.04	41936
0.04%	30727
0.06%	17382
0.07	34466
0.07%	16688
0.08%	31846
0.09%	17721
0.1	17569
0.1%	9587
0.10%	34086
0.11%	13088
0.12%	22834
0.13%	39386
0.14%	15259
0.15%	20882
0.16%	22472
0.17%	25623
0.18%	12077
0.19%	15948
0.2	26384
0.2%	7860
0.21	39677
0.21%	25247
0.22%	18862
0.23%	23251
0.24%	19125
0.25	27269
0.25%	16531
0.26	35668
0.26%	25949
0.27%	16305
0.28%	20848
0.29%	22147
0.3	23326
0.3%	8782
0.31%	28432
0.32%	24497
0.33%	18723
0.34%	41814
0.35	36903
0.35%	25672
0.36%	19345
0.37%	25786
0.38%	14457
0.39%	23461
0.4	19934
0.4%	8205
0.41%	17216
0.42%	26863
0.43%	30589
0.44%	16709
0.46%	31633
0.48%	27749
0.49%	23895
0.5	14948
0.5%	6691
0.50%	22509
0.51%	17772
0.52	34942
0.52%	22090
0.53%	40815
0.54%	28625
0.56%	29469
0.57%	36170
0.58%	19616
0.6	20791
0.6%	10384
0.60%	40726
0.62%	41360
0.63%	20216
0.64%	27850
0.67%	40654
0.68%	23529
0.7	21844
0.7%	10481
0.70%	36501
0.71%	26383
0.72%	27895
0.73%	36777
0.74%	18681
0.75%	30814
0.76%	27320
0.8	25378
0.8%	10386
0.80%	35202
0.83%	36643
0.85%	22949
0.86%	31093
0.87%	41485
0.88%	28559
0.89%	26006
0.9%	15582
0.93%	40212
0.95%	38115
0.96%	38797
0.97%	36775
0.98%	40649
0.99%	36957
00	14332
007	21978
01	7457
01B	40132
02	9149
03	8204
04	6934
05	11576
06	5822
07	4385
08	582
0809	42454
09	137
09.09	36950
09.11	36685
09007	30947
09011	36686
09012	40908
09013	34803
09015	38470
09020	34836
09023	31857
09024	38620
09025	23192
09031	41470
09032	34970
09040	31837
09042	36394
09048	35673
09050	40930
09052	29924
09056	34219
09057	38214
09059	34699
09068	36745
09072	40099
09076	37305
09078	41041
09079	27507
09085	39252
09086	40113
0910	33159
09101	30703
09106	38288
09107	37664
09124	37661
1	27
1%	1743
1.0%	26296
1.01%	21777
1.02%	35242
1.03%	36006
1.04	39749
1.04%	41692
1.05%	40798
1.06%	36350
1.07	41194
1.08	26166
1.08%	33728
1.09%	25231
1.1	8631
1.1%	14691
1.10%	42653
1.11%	40499
1.12	22610
1.12%	34033
1.13	20233
1.13%	30985
1.15	36735
1.16%	33985
1.17	40712
1.17%	25669
1.18	34748
1.19	40617
1.2	3591
1.2%	10394
1.20%	42277
1.22	30487
1.22%	22441
1.23%	31191
1.24	22816
1.25	26683
1.25%	26076
1.26	33972
1.27	26113
1.27%	42522
1.28	38097
1.28%	39575
1.29	29423
1.3	6948
1.3%	14240
1.31	39682
1.32%	23076
1.33%	24692
1.34%	29048
1.35	17862
1.36	22041
1.36%	25498
1.37	34477
1.37%	32022
1.38	34160
1.39	37775
1.39%	35961
1.4	4816
1.4%	13071
1.42	33495
1.42%	40682
1.43	39491
1.43%	30136
1.44	25001
1.44%	31691
1.45%	38361
1.46	33070
1.47%	34493
1.49	30105
1.49%	40865
1.5	2428
1.5%	7453
1.53%	34375
1.54%	39862
1.55	24716
1.56	41758
1.57%	23456
1.59%	29667
1.6	6648
1.6%	13905
1.61%	40675
1.62	40663
1.62%	39197
1.65	26826
1.66%	41755
1.67	41474
1.68	32619
1.68%	37925
1.7	8410
1.7%	15879
1.73	34381
1.74	35078
1.74%	25585
1.75	14662
1.75%	27312
1.76	33391
1.77	30693
1.78	29007
1.79	42359
1.8	6986
1.8%	16431
